g2 dynamics at tau=0, Fock-1 initial state, w=w_dip
t [ps]       g2 [unitless]
1.367256     0.000000    
1.372037     0.000000    
1.376817     0.000000    
1.381598     0.000000    
1.386379     0.000000    
1.391159     0.000000    
1.395940     0.000000    
1.400720     0.000000    
1.405501     0.000000    
1.410282     0.000000    
1.415062     0.000000    
1.419843     0.000000    
1.424624     0.000000    
1.429404     0.000000    
1.434185     0.000000    
1.438965     0.000000    
1.443746     0.000000    
1.448527     0.000000    
1.453307     0.000000    
1.458088     0.000000    
1.462868     0.000000    
1.467649     0.000000    
1.472430     0.000000    
1.477210     0.000000    
1.481991     0.000000    
1.486772     0.000000    
1.491552     0.000000    
1.496333     0.000000    
1.501113     0.000000    
1.505894     0.000000    
1.510675     0.000000    
1.515455     0.000000    
1.520236     0.000000    
1.525016     0.000000    
1.529797     0.000000    
1.534578     0.000000    
1.539358     0.000000    
1.544139     0.000000    
1.548920     0.000000    
1.553700     0.000000    
1.558481     0.000000    
1.563261     0.000000    
1.568042     0.000000    
1.572823     0.000000    
1.577603     0.000000    
1.582384     0.000000    
1.587164     0.000000    
1.591945     0.000000    
1.596726     0.000000    
1.601506     0.000000    
1.606287     0.000000    
1.611068     0.000000    
1.615848     0.000000    
1.620629     0.000000    
1.625409     0.000000    
1.630190     0.000000    
1.634971     0.000000    
1.639751     0.000000    
1.644532     0.000000    
1.649312     0.000000    
1.654093     0.000000    
1.658874     0.000000    
1.663654     0.000000    
1.668435     0.000000    
1.673216     0.000000    
1.677996     0.000000    
1.682777     0.000000    
1.687557     0.000000    
1.692338     0.000000    
1.697119     0.000000    
1.701899     0.000000    
1.706680     0.000000    
1.711460     0.000000    
1.716241     0.000000    
1.721022     0.000000    
1.725802     0.000000    
1.730583     0.000000    
1.735364     0.000000    
1.740144     0.000000    
1.744925     0.000000    
1.749705     0.000000    
1.754486     0.000000    
1.759267     0.000000    
1.764047     0.000000    
1.768828     0.000000    
1.773608     0.000000    
1.778389     0.000000    
1.783170     0.000000    
1.787950     0.000000    
1.792731     0.000000    
1.797512     0.000000    
1.802292     0.000000    
1.807073     0.000000    
1.811853     0.000000    
1.816634     0.000000    
1.821415     0.000000    
1.826195     0.000000    
1.830976     0.000000    
1.835756     0.000000    
1.840537     0.000000    
1.845318     0.000000    
1.850098     0.000000    
1.854879     0.000000    
1.859660     0.000000    
1.864440     0.000000    
1.869221     0.000000    
1.874001     0.000000    
1.878782     0.000000    
1.883563     0.000000    
1.888343     0.000000    
1.893124     0.000000    
1.897904     0.000000    
1.902685     0.000000    
1.907466     0.000000    
1.912246     0.000000    
1.917027     0.000000    
1.921808     0.000000    
1.926588     0.000000    
1.931369     0.000000    
1.936149     0.000000    
1.940930     0.000000    
1.945711     0.000000    
1.950491     0.000000    
1.955272     0.000000    
1.960053     0.000000    
1.964833     0.000000    
1.969614     0.000000    
1.974394     0.000000    
1.979175     0.000000    
1.983956     0.000000    
1.988736     0.000000    
1.993517     0.000000    
1.998297     0.000000    
2.003078     0.000000    
2.007859     0.000000    
2.012639     0.000000    
2.017420     0.000000    
2.022201     0.000000    
2.026981     0.000000    
2.031762     0.000000    
2.036542     0.000000    
2.041323     0.000000    
2.046104     0.000000    
2.050884     0.000000    
2.055665     0.000000    
2.060445     0.000000    
2.065226     0.000000    
2.070007     0.000000    
2.074787     0.000000    
2.079568     0.000000    
2.084349     0.000000    
2.089129     0.000000    
2.093910     0.000000    
2.098690     0.000000    
2.103471     0.000000    
2.108252     0.000000    
2.113032     0.000000    
2.117813     0.000000    
2.122593     0.000000    
2.127374     0.000000    
2.132155     0.000000    
2.136935     0.000000    
2.141716     0.000000    
2.146497     0.000000    
2.151277     0.000000    
2.156058     0.000000    
2.160838     0.000000    
